case,score
ALL_BB,-5.013654238634734
GDF,1.889618485007381
GHG,2.403206630402367
JUSO,4.314316766412562
LHG,3.350629788864155
LISTE_VOLT,4.66746446823218
NORDCAMPUS,3.708003905636418
RCDS,5.14541070427858
