gut,59,0.009017270365275868
sollen,55,0.008405930001528351
digital,54,0.008253094910591471
mensch,50,0.007641754546843955
deutschland,49,0.007488919455907076
land,46,0.007030414183096439
mehr,44,0.00672474400122268
neu,43,0.006571908910285802
stärken,40,0.0061134036374751646
fördern,39,0.005960568546538285
sowie,38,0.005807733455601406
unterstützen,34,0.00519639309185389
dafür,33,0.0050435580009170105
stark,33,0.0050435580009170105
müssen,31,0.004737887819043252
setzen,30,0.004585052728106373
kind,29,0.004432217637169494
dabei,28,0.004279382546232615
wichtig,27,0.0041265474552957355
schaffen,26,0.003973712364358857
deshalb,26,0.003973712364358857
forschung,25,0.0038208772734219776
entwicklung,24,0.0036680421824850985
ausbauen,24,0.0036680421824850985
sozial,24,0.0036680421824850985
europäisch,23,0.0035152070915482193
nutzen,23,0.0035152070915482193
brauchen,22,0.00336237200061134
ziel,22,0.00336237200061134
bildung,21,0.0032095369096744614
digitalisierung,19,0.002903866727800703
innovation,19,0.002903866727800703
jahr,18,0.002751031636863824
sorgen,18,0.002751031636863824
verbessern,18,0.002751031636863824
bereich,17,0.002598196545926945
gelten,17,0.002598196545926945
zentral,17,0.002598196545926945
international,16,0.0024453614549900657
zukunft,16,0.0024453614549900657
stehen,16,0.0024453614549900657
insbesondere,15,0.0022925263640531865
technologie,15,0.0022925263640531865
deutsch,15,0.0022925263640531865
weit,15,0.0022925263640531865
weiterentwickeln,15,0.0022925263640531865
frau,15,0.0022925263640531865
erreichen,15,0.0022925263640531865
möglichkeit,14,0.0021396912731163073
mobilität,14,0.0021396912731163073
schnell,14,0.0021396912731163073
öffentlich,14,0.0021396912731163073
groß,13,0.0019868561821794286
entwickeln,13,0.0019868561821794286
europa,13,0.0019868561821794286
wald,13,0.0019868561821794286
daher,13,0.0019868561821794286
stadt,13,0.0019868561821794286
euro,12,0.0018340210912425492
möglich,12,0.0018340210912425492
klimaschutz,12,0.0018340210912425492
bund,12,0.0018340210912425492
wirtschaft,12,0.0018340210912425492
national,12,0.0018340210912425492
gesetzlich,12,0.0018340210912425492
zusätzlich,11,0.00168118600030567
angebot,11,0.00168118600030567
leben,11,0.00168118600030567
leistung,11,0.00168118600030567
blick,11,0.00168118600030567
chance,11,0.00168118600030567
bereits,11,0.00168118600030567
ganz,11,0.00168118600030567
schutz,11,0.00168118600030567
deutlich,11,0.00168118600030567
gehen,11,0.00168118600030567
weiterbildung,11,0.00168118600030567
pflege,10,0.0015283509093687911
nehmen,10,0.0015283509093687911
staatlich,10,0.0015283509093687911
gezielt,10,0.0015283509093687911
attraktiv,10,0.0015283509093687911
modernisierungsjahrzehnt,10,0.0015283509093687911
versorgung,10,0.0015283509093687911
kommen,10,0.0015283509093687911
altersvorsorge,10,0.0015283509093687911
instrument,10,0.0015283509093687911
beruflich,10,0.0015283509093687911
nachhaltig,10,0.0015283509093687911
maßnahme,10,0.0015283509093687911
jung,10,0.0015283509093687911
umsetzen,10,0.0015283509093687911
beispielsweise,9,0.001375515818431912
hoch,9,0.001375515818431912
familie,9,0.001375515818431912
vorantreiben,9,0.001375515818431912
modern,9,0.001375515818431912
emissionshandel,9,0.001375515818431912
helfen,9,0.001375515818431912
global,9,0.001375515818431912
einsatz,9,0.001375515818431912
notwendig,9,0.001375515818431912
infrastruktur,9,0.001375515818431912
bleiben,9,0.001375515818431912
beitrag,9,0.001375515818431912
weiterhin,9,0.001375515818431912
sicherheit,9,0.001375515818431912
förderung,9,0.001375515818431912
kultur,9,0.001375515818431912
herausforderung,9,0.001375515818431912
schritt,8,0.0012226807274950328
gerade,8,0.0012226807274950328
wirksam,8,0.0012226807274950328
miteinander,8,0.0012226807274950328
sicher,8,0.0012226807274950328
alter,8,0.0012226807274950328
ermöglichen,8,0.0012226807274950328
beschleunigen,8,0.0012226807274950328
einrichtung,8,0.0012226807274950328
bedeutung,8,0.0012226807274950328
entscheidend,8,0.0012226807274950328
bürger,8,0.0012226807274950328
medizinisch,8,0.0012226807274950328
gleichzeitig,8,0.0012226807274950328
wer,8,0.0012226807274950328
klimawandel,8,0.0012226807274950328
gehören,8,0.0012226807274950328
sicherstellen,8,0.0012226807274950328
mann,8,0.0012226807274950328
schule,8,0.0012226807274950328
öpnv,8,0.0012226807274950328
jugendliche,8,0.0012226807274950328
finanziell,8,0.0012226807274950328
umfassend,7,0.0010698456365581537
investition,7,0.0010698456365581537
unternehmen,7,0.0010698456365581537
geben,7,0.0010698456365581537
bestehend,7,0.0010698456365581537
arbeit,7,0.0010698456365581537
sowohl,7,0.0010698456365581537
gesellschaft,7,0.0010698456365581537
grundlage,7,0.0010698456365581537
neben,7,0.0010698456365581537
ebenso,7,0.0010698456365581537
dienst,7,0.0010698456365581537
kommune,7,0.0010698456365581537
immer,7,0.0010698456365581537
gemeinsam,7,0.0010698456365581537
profitieren,7,0.0010698456365581537
ausbau,7,0.0010698456365581537
einkommen,7,0.0010698456365581537
erster,7,0.0010698456365581537
prüfen,7,0.0010698456365581537
unabhängig,7,0.0010698456365581537
möglichst,7,0.0010698456365581537
zudem,7,0.0010698456365581537
heute,7,0.0010698456365581537
betrieblich,7,0.0010698456365581537
verlässlich,7,0.0010698456365581537
2025,7,0.0010698456365581537
region,7,0.0010698456365581537
zusammenarbeit,7,0.0010698456365581537
innovativ,7,0.0010698456365581537
flächendeckend,7,0.0010698456365581537
etablieren,7,0.0010698456365581537
bürgerin,7,0.0010698456365581537
verkehr,7,0.0010698456365581537
aufbauen,7,0.0010698456365581537
ländlich,7,0.0010698456365581537
erhalten,7,0.0010698456365581537
